name,artist,from_date,to_date,location,description,borough,lat,lng,active
A View from the Lunch Table: Students Bringing Issues to the Table,LEAP,2009-05-28,2009-09-30,Various Locations,"<span style=""font-family: Verdana; font-size: 11px; color: rgb(68, 68, 68); line-height: 15px;""><p style=""margin: 0px 0px 1em; padding: 0px;"">Students from ten New York City public middle schools, with two schools representing each borough, have transformed lunch school tables into personalized canvases and created colorful works of public art that touch upon critical social issues in their community and across the globe. The tables, which have been installed in ten community parks across the five boroughs, are a way of giving young teens the chance to voice their opinion and reach out to the public in hopes of inspiring social change through their art. LEAP (Learning through an Expanded Art Program), which has provided public arts&ndash;based education to over two million students K-12 throughout New York City, has empowered its students with this project. The program included visits with artists such as Tom Otterness, Christo and Jeanne&ndash;Claude, Dennis Oppenheim, and Kenny Scharf.</p><p style=""margin: 0px 0px 1em; padding: 0px;"">Artworks can be found at: Inwood Hill Park and Tompkins Square Park in Manhattan; Commodore Barry Park and Green Central Knoll in Brooklyn; Crotona Park and Claremont Park in Bronx; Juniper Valley Park and Parsons Greenstreet in Queens; and Silver Lake Park and Stapleton Playground in Staten Island.</p><p style=""margin: 0px 0px 1em; padding: 0px;"">For more information,&nbsp;<a href=""http://www.nycgovparks.org/sub_things_to_do/attractions/public_art/pdf/Public_Art_10_Project_Sheet_FINAL_REV_Parks.pdf"" style=""margin: 0px; padding: 0px; color: rgb(69, 126, 0);"">download a PDF</a>&nbsp;with all of the artwork or visit&nbsp;<a href=""http://www.nycgovparks.org/web/external/exit.php&Alpha;url=http%3A//leapnyc.org"" style=""margin: 0px; padding: 0px; color: rgb(69, 126, 0);"">the LEAP website.</a></p></span><span style=""font-family: Verdana; font-size: 11px; color: rgb(68, 68, 68); line-height: 15px;""></span>",c,,,1
Tree Museum,Katie Holten,2009-06-21,2010-02-15,Grand Concourse,"&#8203;<span style=""font-family: Verdana; font-size: 11px; color: rgb(68, 68, 68); line-height: 15px;"">Celebrating the 2009 centennial of the Grand Concourse in the Bronx, Katie Holten's Tree Museum requires no admission fee. The outdoor project features 100 trees along a four&ndash;and&ndash;a&ndash;half&ndash;mile stretch of the Concourse. Each tree is marked off with a vinyl sign indicating its species and a phone number linked to an audio program featuring stories, sounds, and knowledge of each tree and its surrounding site. 100 audio files correspond to the 100 trees and are each recorded by various locals, poets, artists, and musicians from the Bronx community, while other segments record the sounds of trees, animals, insects, and water. In the words of Katie Holten, the museum is intended to &ldquo;give a voice to the inhabitants, the streets, and neighborhoods from the past, present, and future,&rdquo; which are all interconnected. The Tree Museum is a collaborative project by the Bronx Museum of Arts and Wave Hill, in cooperation with the NYC Department of Parks and Recreation.</span>",X,,,1
The Ego and the Id,Franz West,2009-07-01,2010-07-16,Doris Freedman Plaza,"<p><em>The Ego and the Id</em> is internationally acclaimed artist Franz West's newest and largest aluminum sculpture to date. Soaring 20 feet high, the piece consists of two similar but distinct, brightly colored, looping abstract forms, one bubble gum pink and the other alternating blocks of blue, green, orange, and yellow. Each of the forms curve up at the bottom creating stools that invite passersby to stop, take a seat, and directly engage with the artwork.</p><p>This is a project of the <a href=""http://www.nycgovparks.org/web/external/exit.php&Alpha;url=http://www.publicartfund.org"">Public Art Fund</a>.</p>",M,,,1
The River that Flows Both Ways,Spencer Finch,2009-06-01,2010-06-30,,"<font size=""3"" color=""#444444"" face=""Verdana""><span style=""font-size: 11px; line-height: 15px;""><p style=""margin: 0px 0px 1em; padding: 0px;"">The&nbsp;<em style=""margin: 0px; padding: 0px;"">River that Flows Both Ways</em>&nbsp;is a bank of colored glass windowpanes along the tunnel over Chelsea Market. For his project, Stephen Finch took one day to photograph the Hudson River's surface 700 times, taking one shot every minute. These images have been transferred onto 700 panes of glass and placed onto pre&ndash;existing windows, which have been installed in a semi&ndash;enclosed tunnel between 15th and 16th streets, above the New York City High Line, from which the river can be seen. The piece, which uses a single pixel point from the photographs for each pane of glass, is a study on the ever&ndash;changing color of water. The tunnel itself transforms throughout the day as the levels of light shift with time. The title is the translation for the Native American name of the Hudson River, Muhheakantuck.</p><p style=""margin: 0px 0px 1em; padding: 0px;"">Finch was born in New Haven, Connecticut and is currently based in Brooklyn, New York. His works constantly seek to unveil the nature of light, color, perception, and memory. This project was organized by Creative Time, Friends of the High Line, and NYC Parks.</p></span></font>",M,,,1
A Clearing in the Streets,Julie Farris and Sarah Wayland-Smith,2009-05-22,2009-10-01,,"<span style=""font-family: Verdana; font-size: 11px; color: rgb(68, 68, 68); line-height: 15px;""><em style=""margin: 0px; padding: 0px;"">A Clearing in the Streets</em>&nbsp;is an urban viewing structure that provides a glimpse of a natural habitat in a city setting and demonstrates, in real time, how landscapes evolve. This ten&ndash;sided plywood structure is punctuated with viewing slots that reveal an idealized meadow of wildflowers growing among a panoramic mural of a vast blue sky. Starting from seeds and young plants, the meadow will flourish over the duration of the piece turning into a lush native habitat.<br><br>This is a project of the Public Art Fund.<br></span>",M,,,1
wall and door and roof,Richard Woods,2009-07-01,2009-09-30,,"<span style=""font-family: Verdana; font-size: 11px; color: rgb(68, 68, 68); line-height: 15px;""><p style=""margin: 0px 0px 1em; padding: 0px;"">British artist Richard Woods'&nbsp;<em style=""margin: 0px; padding: 0px;"">wall and door and roof</em>&nbsp;whimsically transform various structural elements at City Hall. Cladding the property's two security booths with a printed facade of cartoon&ndash;like red bricks, Woods draws on his native vernacular, which identifies this design as an inexpensive architectural style. The visually dynamic work dramatically juxtaposes the historic architecture of City Hall with ordinary building materials. Woods' faux renovation continues inside City Hall on a set of lobby doors. Covering the doors in a printed graphic that is a replication of itself, the artist creates an optical illusion. Woods includes all of the ornamental details of the original to produce a heightened and flattened sense of reality.</p><p style=""margin: 0px 0px 1em; padding: 0px;"">This is a project of the&nbsp;<a href=""http://www.nycgovparks.org/web/external/exit.php&Alpha;url=http%3A//www.publicartfund.org"" style=""margin: 0px; padding: 0px; color: rgb(69, 126, 0);"">Public Art Fund</a>.</p></span>",M,,,1
Spotted Leaf,Richard Baronio,2009-06-02,2010-03-30,,"Richard Baronio&rsquo;s <em>Spotted Leaf</em>&nbsp; is perfectly suited for 
              its temporary home at the Heather Gardens in Fort Tryon Park. Inspired 
              by his love for gardening, Baronio&rsquo;s work pays homage to the beauty 
              found in nature. Through the technique of addition and subtraction, 
              Baronio allows his work to grow on its own, never forcing its shape 
              into any particular form. <em>Spotted 
              Leaf</em> is an improvisational piece made from welded stainless steel.",M,,,1
Central Park Sound Tunnel,John Morton,2009-06-10,2009-09-10,,"Avant&ndash;garde composer John Morton's rich sonic collage, <span style=""font-style: italic;"">Central Park
Sound Tunnel</span>, resonates in the pedestrian tunnel between the Central
Park Zoo and Children's Zoo adjacent to 5th Avenue. Beginning every
half&ndash;hour with the ringing of the Delacorte chimes, this 20&ndash;minute, six&ndash;speaker sound installation incorporates field recordings made in
Central Park over the last year. Randomly generated selections of
ambient sounds such as horses clopping, baseball games, sprinklers
whirring, and birds are woven together to form complex ever&ndash;changing
compositions that echo through the cavernous tunnel. The installation
runs every day from 8:00 a.m. to 8:00 p.m.<br><br><a href=""http://nycgovparks.org/sub_things_to_do/attractions/public_art/sound_tunnel/index.html"">Read 
              more and listen to sound samples from the exhibit.</a>",M,,,1
Flooded Chambers Maid,Jessica Stockholder,2009-05-01,2009-08-15,,"<p>The <em>Flooded Chambers Maid</em> is anchored by a 1300-square-foot arrow-shaped platform sprawling across the northern end of 
              the park's Oval Lawn. The platform&mdash;a wildly colorful and intricately&ndash;patterned 
              combination of custom cut and colored industrial steel and molded 
              fiberglass grating&mdash;emerges from a shock of colored rubber 
              mulch to spread itself across the lawn, enveloping a tree and stretching 
              to reach the pathway surrounding the Oval Lawn.</p>
            <p>The platform's dynamic pop colors spill from the edge of the 
              platform and Oval Lawn across the bordering pathway, leading to 
              an equally colorful staircase and viewing platform installed on 
              one of the smaller adjacent lawns. From this elevated perspective, 
              visitors are invited to view the installation&rsquo;s garden: swaths of 
              bright flowers and boldly colored plastic bins and buckets that 
              sweep across the small adjoining lawn.</p>
            <p>This project is organized and sponsored by the <a href=""https://www.madisonsquarepark.org/"">Madison 
              Square Park Conservancy</a>.</p>",M,,,1
America's Chinatown Voices,Nathalie Pham & Avani Patel,2009-06-09,2009-08-08,,"<p><em>America's Chinatown Voices</em> consists of 80 panels mounted 
              on the fence encircling Columbus Park. Local voices, ideas, stories, 
              images, and statements will be painted by the artists on these wood 
              panels. Every weekend throughout the summer, the artists and volunteers 
              will come to repaint many of the panels with new comments and thoughts, 
              renewing each artwork.</p>
            <p>To rouse community support and participation, the slogan <span><img src=""http://nycgovparks.org/sub_things_to_do/attractions/public_art/asain_characters.jpg""></span> 
              has been created, which means &ldquo;A Gathering of the Arts in 
              Chinatown,&rdquo; or &ldquo;yi wei tang ren jie.&rdquo; This is 
              a rare opportunity for the community to see and hear itself, to 
              create images to reflect itself, and to rally the community to come 
              together and express what is important to them.</p>
            <p>To add stories or images to this rotating exhibition please log 
              on to <a href=""http://www.nycgovparks.org/web/external/exit.php&Alpha;url=http%3A//www.nycmetropoles.com"">the America's Chinatown 
              website</a>.</p>
            <p>This project is organized and sponsored by the Asian American Arts 
              Centre.</p>",M,,,1
"Dirt Sculpture, DDP 2.0",Ethan Long,2009-05-01,2009-10-12,Beach 30th Street,"Far Rockaway resident Ethan Long has created a rammed-earth sculpture 
              along the Rockaway Beach Boardwalk. This large-scale earthwork resembles 
              a minimal cube during the day, but as night falls a series of fiber-optic 
              lights dotting the structure&rsquo;s surface are revealed. These lights 
              glint like stars against the dirt structure adding a cyberelectric 
              dimension to this powerful tribute of the dexterity of environmental 
              elements.",Q,,,1
Tempo # 5,Paolo Corvino,2009-07-27,2010-02-07,,"Native New Yorker and former prizefighter Paolo Corvino has
experimented with many artistic styles. His recent sculptures,
geometric abstractions like <em>Tempo # 5</em>, have presented brightly&ndash;colored, minimal forms. This work is made from painted aluminum.",M,,,1
Tree Huggers Project,Wiktor Szostalo and Agnieszka Gradzik,2008-09-01,2009-07-12,Person Square (Myrtle and Carlton avenues),"<p>The Myrtle Avenue Brooklyn Partnership, NYC Parks &amp; Recreation 
              (Parks), and the New York City Housing Authority (NYCHA) have collaborated 
              to inaugurate the Partnership's new <em>Myrtle Avenue Public 
              Art</em> program with the 11-month installation of pieces from the 
              <a href=""http://www.nycgovparks.org/web/external/exit.php&Alpha;url=http%3A//www.treehuggerproject.com"">Tree Hugger Project</a> 
              at the park triangle at Carlton and Myrtle, and on NYCHA Ingersoll 
              housing development grounds near Myrtle and Prince.</p>
            <p> Tree Hugger Project artists Wiktor Szostalo and Agnieszka Gradzik's 
              ongoing public art project combines sculpture made of natural, found, 
              and free materials such as twigs, vines, and tree branches with 
              a simple environmental message. The Project is an ongoing work of 
              Environmental Art designed to help us rediscover our relationship 
              with nature at a very personal and intimate level.</p>
            <p>These art installations are part of the larger Myrtle Avenue Arts 
              &amp; Enterprise Initiative which represents a multi-faceted effort 
              to establish the retail corridor as an access point to visual art 
              and cultural activities for community members of diverse socio-economic 
              backgrounds. The Tree Hugger Project serves as a kick-off for the 
              Partnership's new public art program, launching both an open 
              call for proposals for temporary sculpture pieces for locations 
              along Myrtle Avenue as well as a request for sponsors to support 
              future artists and their installations. Seed funding for the new 
              program was provided by the Lily Auchincloss Foundation and Myrtle's 
              Business Improvement District.</p>",B,,,1
Leaves of Fort Greene,Julia Vogl,2009-05-23,2009-07-09,,"<em>Leaves of Fort Greene</em> relies on the movement of sunlight. 
              In this work, people can walk between large panels of Plexiglas 
              to catch the light streaming through painted images of enlarged 
              foliage. The images painted on the Plexiglas mimic the diversity 
              of the park's foliage and symbolically represent the diverse 
              population of the Fort Greene community. Come picnic and play near 
              this project and encounter the ever-changing combinations of pattern, 
              color, and light!",B,,,1
Erratic,Roxy Paine,2008-09-01,2009-06-04,Litchfield Villa,"<p>Internationally acclaimed artist Roxy Paine&rsquo;s <span style=""font-style: italic;"">Erratic</span> is a stainless 
              steel boulder measuring 7 feet high by 15 feet wide, part of a larger 
              series of works by the artist. In geology, the term &ldquo;erratic&rdquo; refers 
              to a rock that has been carried by a glacier hundreds of miles away 
              from its original geographic location. <span style=""font-style: italic;"">Erratic</span>&rsquo;s slick exterior 
              leaves its origin unexplained. It is a boulder displaced from somewhere 
              between a mountain and a steel factory. The work reflects the artist&rsquo;s 
              interest in the interactions between humans and nature and specifically 
              from Paine&rsquo;s examination of nature through the lens of industrial 
              processes. The work was previously seen in Madison Square Park. 
              The current installation was organized by the Prospect Park Alliance 
              and James Cohan Gallery. </p>
            <p>Paine was born in New York in 1966 and is currently based in Brooklyn 
              and Treadwell, NY. His work has been shown internationally and is 
              included in major collections. </p>",B,,,1
James Surls on Park Avenue,James Surls,2009-03-14,2009-07-24,Park Avenue Malls,"<p>James Surls is an internationally renowned artist known for creating 
              monumental wood and metal sculptures. Based on natural forms, Surls&rsquo; 
              constructions are created using his own iconic imagery of diamonds, 
              vortexes, needles, and flowers. The New York City Parks Public Art 
              Program is pleased to present an exhibition of seven large-scale 
              bronze and stainless steel sculptures that will line the Park Avenue 
              Malls from 50th Street to 57th Street.</p>
            <p>East Texas-born James Surls has been based in Colorado since 1998. 
              His artwork has appeared in numerous international and national 
              solo and group exhibitions. Surls was given the Living Legend Award 
              by the Dallas Visual Art Center in 1993 and is currently represented 
              by the Charles Cowles Galley, the Gerald Peters Gallery, and the 
              Barbara Davis Gallery.</p>",M,,,1
Robert Melee,Robert Melee,2008-12-19,2009-06-30,,"<p>The current exhibit by Robert Melee features immense forms that 
              while amorphous and featureless, seem familiar in their generalized 
              characteristics and poses&ndash;slouching, sitting, pointing, standing 
              upright&ndash;but also retain a haunting sense of disguise and alluring 
              somberness. Melee began creating figurative sculpture in 2005, and 
              these four outdoor bronze sculptures, presented together for the 
              first time, represent some of his most recent work.</p>
            <p>To construct these forms, Melee starts with mannequins to establish 
              the basic human figure, and then works to blur recognizable details 
              with abstract forms by adding built armatures and covering most 
              of the features with canvas and plaster. He then casts the sculptures 
              in bronze and drips and splatters the sculptures with brightly colored 
              enamel paint. The results are works of art that unite formal characteristics 
              of painting and sculpture: three-dimensional objects with a surface area 
              that underscores the materiality of the paint.</p>
            <p>This is a project of the <a href=""http://www.nycgovparks.org/web/external/exit.php&Alpha;url=http%3A//www.publicartfund.org"">Public 
              Art Fund</a>.</p>",M,,,1
Renka,Kyu Seok Oh,2009-05-16,2009-06-08,,"<span style=""font-style: italic;"">Renka</span> is a massive reclining figure created from hundreds of strips 
              of wood. Inspired by his mother, Kyu Seok Oh created this piece 
              as a symbol of all women. This installation is a collaboration between 
              the Harlem School of the Arts, the West Harlem Art Fund, and the 
              artist Mr. Oh.",M,,,1
